"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2001","AQS","530010003","1","5.4","ug/m3 LC","23","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"01/07/2001","AQS","530010003","1","5.9","ug/m3 LC","25","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"01/13/2001","AQS","530010003","1","9.1","ug/m3 LC","38","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"01/19/2001","AQS","530010003","1","14","ug/m3 LC","55","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"01/25/2001","AQS","530010003","1","12","ug/m3 LC","50","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"01/31/2001","AQS","530010003","1","4.1","ug/m3 LC","17","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"02/06/2001","AQS","530010003","1","2.7","ug/m3 LC","11","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"02/12/2001","AQS","530010003","1","7.4","ug/m3 LC","31","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"02/18/2001","AQS","530010003","1","11.3","ug/m3 LC","47","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"02/24/2001","AQS","530010003","1","6.7","ug/m3 LC","28","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"03/02/2001","AQS","530010003","1","5.9","ug/m3 LC","25","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"03/08/2001","AQS","530010003","1","13.4","ug/m3 LC","54","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"03/14/2001","AQS","530010003","1","3.1","ug/m3 LC","13","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"03/20/2001","AQS","530010003","1","5.4","ug/m3 LC","23","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"04/01/2001","AQS","530010003","1","4","ug/m3 LC","17","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"04/07/2001","AQS","530010003","1","5.6","ug/m3 LC","23","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"04/13/2001","AQS","530010003","1","3.9","ug/m3 LC","16","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
"04/25/2001","AQS","530010003","1","7","ug/m3 LC","29","RITZVILLE - ALDER ST","1","100.0000","88101","PM2.5 - Local Conditions","36830","Othello, WA","53","Washington","001","Adams","47.12","-118.3819"
