"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2006","AQS","560050123","1","1.3","ug/m3 LC","5","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
"01/05/2006","AQS","560050123","1","0.9","ug/m3 LC","4","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
"01/08/2006","AQS","560050123","1","2.5","ug/m3 LC","10","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
"01/11/2006","AQS","560050123","1","1.6","ug/m3 LC","7","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
"01/14/2006","AQS","560050123","1","1.5","ug/m3 LC","6","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
"01/17/2006","AQS","560050123","1","1.8","ug/m3 LC","8","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
"01/20/2006","AQS","560050123","1","1.8","ug/m3 LC","8","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
"01/23/2006","AQS","560050123","1","2.3","ug/m3 LC","10","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
"01/26/2006","AQS","560050123","1","5.1","ug/m3 LC","21","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
"01/29/2006","AQS","560050123","1","1.5","ug/m3 LC","6","Thunder Basin","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","23940","Gillette, WY","56","Wyoming","005","Campbell","44.6522000009432","-105.2903"
